,original,obfuscated,level,recovered,recover_score
10,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,L11,free entry in 2a wkly comp to win fa cup final tkts 21st may 2oo5. text fa to 87121 to receive entry question(std txt rate)t&c's apply o845281oo75over18's,0.8996763754045307
11,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","F733M59 Hey 7h3r3 d4r111ng 17'5 b33n 3 w33k'5 n0w 4nd n0 w0rd b4ck! 1'0 11k3 50m3 fvn y0u up f0r 17 57111? T8 0k! XxX 57d ch9s t0 53nd, å£1.50 t0 rcv",L1,"F733M59 hey 7here d4r111ng 17'5 been 3 week'5 now 4nd no word b4ck! 1'o 11ke 5ome fvn you up for 17 57111? t8 ok! xxx 57d ch9s to 5end, a£1.5o to rcv",0.734006734006734
12,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","F|33M$ Hey 7h3r3 d4r|11|9 17'5 b33n 3 w33k'5 n0w 4nd n0 w0rd b4ck! 1'0 1|k3 50m3 fvn y0u up f0r 17 57|1|! T8 0k! XxX 57d ch9s t0 53nd, å£1.50 t0 rcv",L2,"f|eems hey 7here d4r|11|9 17'5 been 3 week'5 now 4nd no word b4ck! 1'o1|ke 5ome fvn you up for 17 57|1|! t8 ok! xxx 57d ch9s to 5end, a£1.5o to rcv",0.71864406779661
13,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","F33M Hey 0n3 d4r|1|9 3 w33k'5 n0w n0 w0rd b4ck! 1'0 l8k 50m3 fvn y0u up 4 77? 8 0k! XxX s7d ch9s 2 snd, å£1.50 2 rcv",L3,"feem hey one d4r|1|9e week'5 now no word b4ck! 1'o l8k 5ome fvn you up 4 77? 8 ok! xxx s7d ch9s 2 snd, a£1.5o 2 rcv",0.6539923954372624
14,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","F.3.3.M. Hey.th3.r3.d4r.1.1.1.9.1.7.'5.b3.3.n.3.w.3.3.k.'5.n.0.w.4.n.d.n.0.w.0.r.d.b.4.c.k.!1.'0.1.k.3.5.0.m.3.f.v.n.y.0.u.u.p.f.0.r.1.7.5.7.1.1.1.T.8.0.k.!X.x.X.s.t.d.c.h.9.s.t.0.s.3.n.d.,å£1.50.t.0.r.c.v",L4,"f.e.e.m. hey.the.re.d4r.1.1.1.9.1.7.'5.be.e.n.e.w.e.e.k.'5.n.o.w.4.n.d.n.o.w.o.r.d.b.4.c.k.!1.'o.1.k.e.5.o.m.e.f.v.n.y.o.u.u.p.f.o.r.1.7.5.7.1.1.1.t.8.o.k.!x.x.x.s.t.d.c.h.9.s.t.o.s.e.n.d.,a£1.5o.t.o.r.c.v",0.453257790368272
15,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",f r e e m s g h e y t h e r e d a r l i n g i t s b e e n 3 w e e k s n o w o r d b a c k i d l i k e s o m e f u n y o u u p f o r i t s t i l l t b o k x x x s t d c h g s t o s e n d a 1 5 0 t o r c v,L5,freemsgheytheredarlingitsbeen3weeksnowordbackidlikesomefunyouupforitstilltbokxxxstdchgstosenda150torcv,0.752
16,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","Fr33M$ H3y 7h3r3 d4r|1119 17'5 b33n 3 w33k'5 n0w 4nd n0 w0rd b4ck! 1'0 1|k3 50m3 fvn y0u up f0r 17 57|1|! T8 0k! XxX 57d ch9s t0 53nd, α£1.50 t0 rcv",L6,"freems hey 7here d4r|1119 17'5 been 3 week'5 now 4nd no word b4ck! 1'o1|ke 5ome fvn you up for 17 57|1|! t8 ok! xxx 57d ch9s to 5end, α£1.5o to rcv",0.7254237288135593
17,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","F-R33-M$ H3y Th3r3 d4r|1119 17'5 b33n 3 W33k'5 N0w 4nd N0 W0rd B4ck! 1'0 1|k3 50m3 Fvn Y0u Up F0r 17 57|1|! T8 0k! XxX 57d ch9s t0 53nd, α£1.50 t0 rcv",L7,"f-ree-ms hey there d4r|1119 17'5 been 3 week'5 now 4nd no word b4ck! 1'o1|ke 5ome fvn you up for 17 57|1|! t8 ok! xxx 57d ch9s to 5end, α£1.5o to rcv",0.7272727272727273
18,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","Fr33M$ H3y Th3r3 d4r|1119 17'5 b33n 3 w33k'5 n0w 4nd n0 w0rd b4ck! 1'0 1|k3 50m3 fvn y0u up f0r 17 57|1|! T-8 0k! XxX 57d ch9s t0 53nd, α£1.50 t0 rcv",L8,"freems hey there d4r|1119 17'5 been 3 week'5 now 4nd no word b4ck! 1'o1|ke 5ome fvn you up for 17 57|1|! t-8 ok! xxx 57d ch9s to 5end, α£1.5o to rcv",0.7297297297297297
19,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","🅕🅡🅔🅔🅜🅢🅖 🅗🅔🅨 🅗🅔🅡🅔 🅓🅐🅡🅛🅘🅝🅖 🅘🅣'🅢 🅑🅔🅔🅝 3 🅜🅔🅔🅚'🅢 🅝🅞🅒 🅞🅡🅓 🅑🅐🅒🅚! 1'0 1🅚3 50Ⓜ🅔 📥🅤🅝 📨🅞🅤 📤🅟 📥0🅡 17 57111! 📤8 0🅚! XXX 57🅓 CH9🅢 T0 5🅔🅝🅓, å£1.50 T0 RCV",L9,"🅕🅡🅔🅔🅜🅢🅖 🅗🅔🅨 🅗🅔🅡🅔 🅓🅐🅡🅛🅘🅝🅖 🅘🅣'🅢 🅑🅔🅔🅝 3 🅜🅔🅔🅚'🅢 🅝🅞🅒 🅞🅡🅓 🅑🅐🅒🅚! 1'o1🅚e 5om🅔 📥🅤🅝 📨🅞🅤 📤🅟 📥o🅡 17 57111! 📤8o🅚! xxx 57🅓 ch9🅢 to 5🅔🅝🅓, a£1.5o to rcv",0.37323943661971826
20,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","[F][R][E][E][M][S][G] [H][E][Y] [T][H][E][R][E] [D][A][R][L][I][N][G] [I][T]'[S] [B][E][E][N] [3] [W][E][E][K]'[S] [N][O][W] [4][N][D] [N][O] [W][O][R][D] [B][A][C][K]! [1]'[0] [1][K][3] [5][0][M][E] [F][U][N] [Y][O][U] [U][P] [F][O][R] [1][7] [5][7][1][1][1]! [T][8] [0][K]! [X][X][X] [S][T][D] [C][H][9][S] [T][0] [S][E][N][D], [å][£][1].[5][0] [T][0] [R][C][V]",L10,"[f][r][e][e][m][s][g] [h][e][y] [t][h][e][r][e] [d][a][r][l][i][n][g] [i][t]'[s] [b][e][e][n] [e] [w][e][e][k]'[s] [n][o][w] [4][n][d] [n][o] [w][o][r][d] [b][a][c][k]! [1]'[o] [1][k][e] [5][o][m][e] [f][u][n] [y][o][u] [u][p] [f][o][r] [1][7] [5][7][1][1][1]! [t][8] [o][k]! [x][x][x] [s][t][d] [c][h][9][s] [t][o] [s][e][n][d], [a][£][1].[5][o] [t][o] [r][c][v]",0.48140900195694714
21,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",F.3.3.M$ H3y T-h3r3 d4r|1119 17'5 b33n 3 w33k'5 n0w 4n.d n0 w0rd b4ck! 1'0 1|k3 50m3 fvn y0u up f0r 17 57|1|! T-8 0k! XxX 57d ch9s t0 5,L11,f.e.e.ms hey t-here d4r|1119 17'5 been 3 week'5 now 4n.d no word b4ck! 1'o1|ke 5ome fvn you up for 17 57|1|! t-8 ok! xxx 57d ch9s to 5,0.6524822695035462
22,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W1NN3R!! 4$ 74LV30 7N37W0RK CU$70MER Y0U H@V3 833N 53L3CT3D 70 R3C3IVEA £900 PR!ZE R3W4RD! T0 CL4IM C4LL 09061701461. C14IM C0DE KL341. V@L!D 12 H0UR$ 0NLV.""",L1,"""w1nner!! 4s 74LV30 7N37W0RK cus7omer you have 8een 53L3CT3D 70 R3C3IVEA £9oo pr!ze rew4rd! to cl4im c4ll o9o617o1461. c14im code kle41. val!d 12 hours onlv.""",0.6075949367088608
23,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W!NN3R!! 4$ 74LV30 7N37W0RK CU$7OM3R Y0U H@V3 833N 53L3CT3D 70 R3C3!V3A £900 PR!Z3 R3W4RD! T0 CL4!M C4LL 09061701461. C14!M C0D3 KL341. V@L!D 12 H0UR$ 0NLV.""",L2,"""w!nner!! 4s 74LV30 7N37W0RK cus7omer you have 8een 53L3CT3D 70 rece!vea £9oo pr!ze rew4rd! to cl4!m c4ll o9o617o1461. c14!m code kle41. val!d 12 hours onlv.""",0.639240506329114
24,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""WINN3R!! 45 4 V4LU 3N37C 3U 0F 900 PRIZE 2M 09061701461. C0D3 KL341. 12 HRz.""",L3,"""winner!! 45 4 v4lu ene7c eu of 900 prize 2m o9o617o1461. code kle41. 12 hrz.""",0.4576271186440678
25,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W.I.N.N.E.R.!! A.S A.V.A.L.U.3.N.3.T.W.O.R.K.C.U.S.T.O.M.E.R.Y.O.U.H.A.V.E.B.E.E.N.S.E.L.E.C.T.E.D.T.O.R.E.C.E.I.V.E.A.£.9.0.0.P.R.I.Z.E.R.E.W.A.R.D.!T.O.C.L.A.I.M.C.A.L.L.0.9.0.6.1.7.0.1.4.6.1..C.L.A.I.M.C.O.D.E.K.L.3.4.1..V.A.L.I.D.1.2.H.O.U.R.S.0.N.L.Y.""",L4,"""w.i.n.n.e.r.!! a.sa.v.a.l.u.e.n.e.t.w.o.r.k.c.u.s.t.o.m.e.r.y.o.u.h.a.v.e.b.e.e.n.s.e.l.e.c.t.e.d.t.o.r.e.c.e.i.v.e.a.£.9.o.o.p.r.i.z.e.r.e.w.a.r.d.!t.o.c.l.a.i.m.c.a.l.l.o.9.o.6.1.7.o.1.4.6.1..c.l.a.i.m.c.o.d.e.k.l.e.4.1..v.a.l.i.d.1.2.h.o.u.r.s.o.n.l.y.""",0.5493975903614459
26,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""w i n n e r ! ! a s a v a l u e d n e t w o r k c u s t o m e r y o u h a v e b e e n s e l e c t e d t o r e c e i v e a £ 9 0 0 p r i z e r e w a r d ! t o c l a i m c a l l 0 9 0 6 1 7 0 1 4 6 1 . c l a i m c o d e k l 3 4 1 . v a l i d 1 2 h o u r s o n l y .""",L5,"""winner ! ! asavaluednetworkcustomeryouhavebeenselectedtoreceivea £ 900prizereward ! toclaimcall09061701461 . claimcodekl341 . valid12hoursonly .""",0.8223684210526316
27,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W!NN3R!! 4$ 74LV30 7N37W0RK CU$70MER Y0U H@V3 833N 53L3CT3D 70 R3C3IVEA £900 PR!ZE R3W4RD! T0 CL4IM C4LL 09061701461. C14IM C0DE KL341. V@L!D 12 H0UR$ 0NLV.""",L6,"""w!nner!! 4s 74LV30 7N37W0RK cus7omer you have 8een 53L3CT3D 70 R3C3IVEA £9oo pr!ze rew4rd! to cl4im c4ll o9o617o1461. c14im code kle41. val!d 12 hours onlv.""",0.6075949367088608
28,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W-I-N-N-E-R-!!-A-S-A-V-A-L-U-E-D-N-E-T-W-O-R-K-C-U-S-T-O-M-E-R-Y-O-U-H-A-V-E-B-E-E-N-S-E-L-E-C-T-E-D-T-O-R-E-C-E-I-V-E-A-£-9-0-0-P-R-I-Z-E-R-E-W-A-R-D-!-T-O-C-L-A-I-M-C-A-L-L-0-9-0-6-1-7-0-1-4-6-1-.C-L-A-I-M-C-O-D-E-K-L-3-4-1-.V-A-L-I-D-1-2-H-O-U-R-S-0-N-L-Y-.""",L7,"""w-i-n-n-e-r-!!-a-s-a-v-a-l-u-e-d-n-e-t-w-o-r-k-c-u-s-t-o-m-e-r-y-o-u-h-a-v-e-b-e-e-n-s-e-l-e-c-t-e-d-t-o-r-e-c-e-i-v-e-a-£-9-o-o-p-r-i-z-e-r-e-w-a-r-d-!-t-o-c-l-a-i-m-c-a-l-l-o-9-o-6-1-7-o-1-4-6-1-.c-l-a-i-m-c-o-d-e-k-l-e-4-1-.v-a-l-i-d-1-2-h-o-u-r-s-o-n-l-y-.""",0.5428571428571429
29,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W!NN3R!! 4$ 74LV30 7N37W0RK CU$70MER Y0U H@V3 833N 53L3CT3D 70 R3C3IVEA £900 PR!ZE R3W4RD! T0 CL4IM C4LL 0-9-0-6-1-7-0-1-4-6-1. C14IM C0D3 KL341. V@L!D 12 H0UR$ 0NLV.""",L8,"""w!nner!! 4s 74LV30 7N37W0RK cus7omer you have 8een 53L3CT3D 70 R3C3IVEA £9oo pr!ze rew4rd! to cl4im c4ll o-9-o-6-1-7-o-1-4-6-1. c14im code kle41. val!d 12 hours onlv.""",0.5889570552147239
30,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W!NN3R!! 4$ 74LV30 7N37W0RK CU$70MER Y0U H@V3 833N 53L3CT3D 70 R3C3IVEA £900 PR!ZE R3W4RD! T0 CL4IM C4LL 09061701461. C14IM C0D3 KL341. V@L!D 12 H0UR$ 0NLV.""",L9,"""w!nner!! 4s 74LV30 7N37W0RK cus7omer you have 8een 53L3CT3D 70 R3C3IVEA £9oo pr!ze rew4rd! to cl4im c4ll o9o617o1461. c14im code kle41. val!d 12 hours onlv.""",0.6075949367088608
31,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W-I-N-N-E-R-!!-A-S-A-V-A-L-U-E-D-N-E-T-W-O-R-K-C-U-S-T-O-M-E-R-Y-O-U-H-A-V-E-B-E-E-N-S-E-L-E-C-T-E-D-T-O-R-E-C-E-I-V-E-A-£-9-0-0-P-R-I-Z-E-R-E-W-A-R-D-!-T-O-C-L-A-I-M-C-A-L-L-0-9-0-6-1-7-0-1-4-6-1-.C-L-A-I-M-C-O-D-E-K-L-3-4-1-.V-A-L-I-D-1-2-H-O-U-R-S-0-N-L-Y-.""",L10,"""w-i-n-n-e-r-!!-a-s-a-v-a-l-u-e-d-n-e-t-w-o-r-k-c-u-s-t-o-m-e-r-y-o-u-h-a-v-e-b-e-e-n-s-e-l-e-c-t-e-d-t-o-r-e-c-e-i-v-e-a-£-9-o-o-p-r-i-z-e-r-e-w-a-r-d-!-t-o-c-l-a-i-m-c-a-l-l-o-9-o-6-1-7-o-1-4-6-1-.c-l-a-i-m-c-o-d-e-k-l-e-4-1-.v-a-l-i-d-1-2-h-o-u-r-s-o-n-l-y-.""",0.5428571428571429
32,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"""W!NN3R!! 4$ 74LV30 7N37W0RK CU$70MER Y0U H@V3 833N 53L3CT3D 70 R3C3IVEA £900 PR!ZE R3W4RD! T0 CL4IM C4LL 0-9-0-6-1-7-0-1-4-6-1. C14IM C0D3 KL341. V@L!D 12 H0UR$ 0NLV.""",L11,"""w!nner!! 4s 74LV30 7N37W0RK cus7omer you have 8een 53L3CT3D 70 R3C3IVEA £9oo pr!ze rew4rd! to cl4im c4ll o-9-o-6-1-7-o-1-4-6-1. c14im code kle41. val!d 12 hours onlv.""",0.5889570552147239
33,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"""Had y0ur m0b1l3 11 m0nth$ 0r m0r3? U R 3nt1tled t0 Upd4te t0 th3 l4t3$7 c010ur m0b1l3$ w1th c4m3r4 f0r Fr3e! C4ll Th3 M0b1l3 Upd4te C0 Fr33 0n 08002986030""",L1,"""had your m0b1l3 11 months or more? ur 3nt1tled to Upd4te to the l4tes7 c010ur mob1les w1th c4m3r4 for free! c4ll the M0b1l3 Upd4te co free on o8oo2986oeo""",0.7443365695792881
34,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"""H@D y0ur m0b13 11 m0nth$ 0r m0r3? U R 3nt17led t0 Upd@73 t0 th3 l@73$7 c0l0ur m0b13$ w17h c@73r4 f0r Fr33! C@7l Th3 M0b13 Upd@73 C0 Fr33 0n 08002986030""",L2,"""had your mob1e 11 months or more? ur 3nt17led to upda7e to the la7es7 c0l0ur mob1es w17h ca7er4 for free! ca7l the mob1e upda7e co free on o8oo2986oeo""",0.738562091503268
35,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"""Hd y0ur m0b13 11 m0nth$ 0r m0r3? U R 3nt17led t0 Upd@73 2 l@73$7 c0l0ur m0b13$ w17h c@73r4 fr33! C@7l Th3 M0b13 Upd@73 C0 fr33 0n 08002986030""",L3,"""hd your mob1e 11 months or more? ur 3nt17led to upda7e 2la7es7 c0l0ur mob1es w17h ca7er4 free! ca7l the mob1e upda7e co free on o8oo2986oeo""",0.6915254237288135
36,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"""H.A.D. y.0.u.r. m.0.b.1.3. 1.1. m.0.n.t.h.$ 0.r. m.0.r.3.? U R 3.n.t.1.7.l.e.d. t.0. U.p.d.7.3. t.0. t.h.3. l.7.3.$7. c.0.l.0.u.r. m.0.b.1.3.$ w.1.7.h. c.7.3.r.4. f.0.r. F.r.3.3.! C.7.l. T.h.3. M.0.b.1.3. U.p.d.7.3. C.0. F.r.3.3. 0.n. 0.8.0.0.2.9.8.6.0.3.0.""",L4,"""h.a.d. y.o.u.r. m.o.b.1.e. 1.1. m.o.n.t.h.s o.r. m.o.r.e.? ure.n.t.1.7.l.e.d. t.o. u.p.d.7.e. t.o. t.h.e. l.7.e.s7. c.o.l.o.u.r. m.o.b.1.e.s w.1.7.h. c.7.e.r.4. f.o.r. f.r.e.e.! c.7.l. t.h.e. m.o.b.1.e. u.p.d.7.e. c.o. f.r.e.e. o.n. o.8.o.o.2.9.8.6.o.e.o.""",0.5352798053527981
